Lambda_Factor,Escenario,Capacidad_Bytes,Replica,W_Tiempo_Esp_Promedio,W_Tiempo_Esp_Maximo,W_Tiempo_Esp_P95,Lq_Cola_Promedio,Lq_Cola_Maximo,Throughput,N_Transacciones,N_Bloques_Minados
0.0015,2,1000000.0,5,21769.733642744377,41113.56929350567,40467.47435072582,31706.705587989993,109938,1.911138888888889,137602,119
0.0015,2,1000000.0,6,4538.57427317825,13153.831737691566,12526.677984074293,4101.572143452878,29591,0.7983194444444445,57479,26
0.0015,2,1000000.0,7,8186.879507851133,23530.337040944178,22222.88811353878,9883.055879899917,54635,2.2551111111111113,162368,75
0.0015,2,1000000.0,8,24884.96295669967,41463.381384551314,40444.432818214256,33568.79232693912,112691,1.9179166666666667,138090,63
0.0015,2,1000000.0,9,14903.290893518155,30085.32811558667,28586.426129768453,11318.446205170976,61387,1.4205277777777778,102278,47
0.0015,2,1000000.0,10,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0015,2,2000000.0,1,1649.0984598873108,6874.697217794295,5625.199907248207,4737.407839866555,33878,2.755638888888889,198406,47
0.0015,2,2000000.0,2,7605.226971422678,9442.03687533997,9387.593206178066,1298.8507089241034,35498,0.4930277777777778,35498,9
0.0015,2,2000000.0,3,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0015,2,2000000.0,4,1342.4571495028074,3981.1610932515614,3495.998151281634,1166.2844036697247,25336,0.9858472222222222,70981,119
0.0015,2,2000000.0,5,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0015,2,2000000.0,6,3055.529672145366,12042.280422226442,11081.030326792397,10794.95329441201,63542,3.4245694444444443,246569,58
0.0015,2,2000000.0,7,3804.24727039217,13687.52150777565,13110.078095673156,6878.603836530442,47472,2.3034583333333334,165849,39
0.0015,2,2000000.0,8,1187.7971021355966,3662.966774602377,3466.786862319652,1315.2627189324437,24538,1.1357083333333333,81771,21
0.0015,2,2000000.0,9,3882.7525878164133,10519.616728862606,9952.948815657574,10666.745621351127,67834,2.7718611111111113,199574,49
0.0015,2,2000000.0,10,1824.836981523194,6184.954154916064,5710.64785611167,2000.138448707256,24889,1.11,79920,20
0.004,1,500000.0,1,3419.0880832238154,8953.430493105072,8356.1595117439,1579.8031693077564,14884,0.46568055555555554,33529,26
0.004,1,500000.0,2,7069.16695511006,7759.811021432319,7755.131293285913,98.61884904086739,4906,0.06813888888888889,4906,4
0.004,1,500000.0,3,3812.260262721457,9626.687279528545,8975.708083513236,1925.3219349457881,16790,0.5085138888888889,36613,28
0.004,1,500000.0,4,11959.2001815827,26720.782510231227,25845.29238355383,14641.239366138449,45184,1.2262638888888888,88291,66
0.004,1,500000.0,5,2380.595015941415,8555.345731437585,6720.556800047832,2927.8732276897413,16596,1.2583333333333333,90600,72
0.004,1,500000.0,6,2391.128752650941,6180.067497559019,5627.9893537745165,879.8240200166806,13814,0.3721111111111111,26792,21
0.004,1,500000.0,7,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,1,500000.0,8,5604.767885685047,19099.8088274099,17368.775167857726,7399.783986655546,29967,1.3263888888888888,95500,74
0.004,1,500000.0,9,388.922892914521,846.8770563089201,839.4367684148747,11.023352793994995,1849,0.030222222222222223,2176,2
0.004,1,500000.0,10,2374.6895284064462,6126.566977038528,5641.456390675003,1882.0141784820685,12922,0.801625,57717,45
0.004,1,1000000.0,1,668.6811319537842,1745.5111923622972,1664.7730398316598,116.2718932443703,5997,0.18088888888888888,13024,5
0.004,1,1000000.0,2,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,1,1000000.0,3,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,1,1000000.0,4,1244.5326080978316,3142.0503178213658,3017.8561321974366,509.8115095913261,13055,0.4196666666666667,30216,14
0.004,1,1000000.0,5,491.87257933897206,1417.502181738113,1242.4481898352885,129.81567973311093,4339,0.2790972222222222,20095,15
0.004,1,1000000.0,6,929.9829984200512,3988.2484795737546,3387.704115307806,1225.3394495412845,16340,1.3603055555555557,97942,42
0.004,1,1000000.0,7,201.96610683729082,537.9813009207573,536.1461256417649,11.552960800667222,1498,0.07206944444444445,5189,3
0.004,1,1000000.0,8,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,1,1000000.0,9,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,1,1000000.0,10,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,1,2000000.0,1,307.26870553804974,835.5966206495978,575.0829490522156,209.57381150959134,6319,0.7574027777777778,54533,25
0.004,1,2000000.0,2,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,1,2000000.0,3,381.3721514527403,959.5344574866467,768.082294193322,128.35029190992495,6514,0.3683472222222222,26521,8
0.004,1,2000000.0,4,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,1,2000000.0,5,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,1,2000000.0,6,423.69582560764087,1362.2987099291277,968.7382185360148,391.76396997497915,9138,0.9854305555555556,70951,26
0.004,1,2000000.0,7,422.9779263124688,1067.0090374733663,899.5866957070368,161.79733110925773,5917,0.44958333333333333,32370,12
0.004,1,2000000.0,8,303.1577631884998,398.3393877648632,397.874147296061,6.8190158465387825,1582,0.024180555555555556,1741,2
0.004,1,2000000.0,9,319.5119121773136,990.483322641383,874.6388622116647,150.78982485404504,8191,0.5227222222222222,37636,13
0.004,1,2000000.0,10,290.36245441162293,1157.2964421761571,615.724486730565,260.10842368640533,7902,0.9965555555555555,71752,31
0.004,2,500000.0,1,12824.837903485894,13786.910517190317,13780.155464284024,138.7347789824854,5737,0.07968055555555556,5737,6
0.004,2,500000.0,2,7756.2143476079555,28021.196858378964,21267.005940384268,26884.17014178482,77935,1.3106805555555556,94369,84
0.004,2,500000.0,3,9249.633187569105,24269.99632352775,22540.278965810478,2276.3544620517096,17707,0.5243333333333333,37752,33
0.004,2,500000.0,4,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,2,500000.0,5,8122.006167179235,15932.30753520476,15336.124501221318,3601.489574645538,29886,0.4445277777777778,32006,119
0.004,2,500000.0,6,8515.820275110453,22697.876056728346,21071.029327740936,4510.651376146789,19007,0.8744861111111111,62963,60
0.004,2,500000.0,7,16312.892060217031,39877.12136244917,38981.398638983206,13763.491242702252,55760,0.9186805555555555,66145,119
0.004,2,500000.0,8,5304.170330523023,17822.812898417185,16699.62029503963,6185.721434528774,21457,1.1715694444444444,84353,77
0.004,2,500000.0,9,20409.63204620482,22395.876018627205,21948.096897471478,816.6872393661384,14722,0.20447222222222222,14722,13
0.004,2,500000.0,10,4732.906808757406,16572.149958770962,16060.064428018351,3829.738115095913,52620,0.2651527777777778,19091,18
0.004,2,1000000.0,1,3771.8334727338647,11945.495860748088,10932.36511185085,5732.68140116764,34690,1.541236111111111,110969,92
0.004,2,1000000.0,2,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,2,1000000.0,3,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,2,1000000.0,4,1825.0913168725967,9580.189584950698,5933.042455199289,1971.1284403669724,19498,1.1409444444444445,82148,39
0.004,2,1000000.0,5,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,2,1000000.0,6,1311.6883060393204,5736.201227893358,4409.315650670157,1612.2293577981652,21840,0.5681388888888889,40906,20
0.004,2,1000000.0,7,1883.6232946450505,5982.184401952192,5110.539983697375,878.7964970809007,12813,0.637875,45927,119
0.004,2,1000000.0,8,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,2,1000000.0,9,4939.402255914181,26569.844828084308,25557.99980019626,12527.986655546289,44862,1.904125,137097,62
0.004,2,1000000.0,10,9055.376122809905,13797.589552139994,13411.966000502982,504.8632193494579,15039,0.208875,15039,8
0.004,2,2000000.0,1,531.6605562727817,1999.4464120365446,1174.4069361399409,335.43703085904923,10398,0.6716388888888889,48358,14
0.004,2,2000000.0,2,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,2,2000000.0,3,331.3909624874496,1033.0797765946372,959.8117349715892,92.58465387823186,5996,0.3064861111111111,22067,7
0.004,2,2000000.0,4,1188.5289104587305,3938.3787101124835,3457.9571827558543,1578.7030859049207,17581,1.3609444444444445,97988,25
0.004,2,2000000.0,5,1339.060182932308,5813.320154846584,4626.040163356516,3236.629691409508,24872,2.615972222222222,188350,49
0.004,2,2000000.0,6,559.4277578793395,559.4997259685988,559.4928060906568,0.8707256046705588,116,0.0016111111111111111,116,1
0.004,2,2000000.0,7,0.0,0.0,0.0,0.0,0,0.0,0,0
0.004,2,2000000.0,8,1258.2758166829767,6709.0108773718675,5142.482913624456,2861.098415346122,28541,1.9935972222222222,143539,37
0.004,2,2000000.0,9,1418.2522387778506,4706.848774049562,4371.664047368142,2251.9182652210175,26941,1.6511805555555557,118885,31
0.004,2,2000000.0,10,629.8122466830972,2730.243281986488,2130.108775646027,1238.765638031693,15759,2.0924583333333335,150657,46
